boot_id,n_spacing_modes,spacing_mode_center_1,jitter_boundary_1,jitter_boundary_2,occupancy_boundary_1,occupancy_boundary_2
131,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
132,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
133,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.21818181818181817,0.2424242424242424
134,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.18518518518518517,0.20718294051627384
135,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.2303030303030303,0.2545454545454545
136,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
137,1,2.3193359375,0.29283018047622367,0.2938578491475432,0.2303030303030303,0.2545454545454545
138,1,2.3193359375,0.27624308761950184,0.27872401327518087,0.21818181818181817,0.21818181818181817
139,1,2.3193359375,0.2840817661155349,0.29334401481188344,0.21818181818181817,0.2823793490460157
140,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.2684624017957351,0.2962962962962963
141,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.2545454545454545,0.2545454545454545
142,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.20718294051627384
143,1,2.3193359375,0.2938578491475432,0.2938578491475432,0.21818181818181817,0.2545454545454545
144,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.21818181818181817,0.27025813692480355
145,1,2.3193359375,0.2840817661155349,0.2923163461405639,0.20830527497194162,0.2823793490460157
146,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.21212121212121213
147,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.19506172839506172
148,1,2.3193359375,0.2923163461405639,0.2923163461405639,0.18518518518518517,0.19506172839506172
149,1,2.3193359375,0.29752208898966276,0.3048505686739018,0.2,0.23636363636363633
150,1,2.3193359375,0.27748355044734135,0.2799644761030204,0.2303030303030303,0.2823793490460157
151,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
152,1,2.3193359375,0.27748355044734135,0.28922672479936895,0.21818181818181817,0.2424242424242424
153,1,2.3193359375,0.2923163461405639,0.29334401481188344,0.19012345679012346,0.23636363636363633
154,1,2.3193359375,0.27748355044734135,0.2881990561280494,0.1961840628507295,0.21818181818181817
155,1,2.3193359375,0.27748355044734135,0.28922672479936895,0.21818181818181817,0.2424242424242424
156,1,2.3193359375,0.2799644761030204,0.2881990561280494,0.2303030303030303,0.2823793490460157
